Var1,Weighted
C15orf44,-0.502239361491176
CAMK1,-0.502176391516597
MCCC2,-0.502161329883707
HBP1,-0.502146149205962
NT5C3L,-0.502040902355822
CDKN2D,-0.501993569178976
RP11-249L21.4,-0.501964841098255
FOPNL,-0.501899334502291
FEZ1,-0.501855211709936
IDH3G,-0.501809799977725
RPL13AP25,-0.501759080018647
AC068580.6,-0.501757497663839
ERBB2IP,-0.501647463256846
FAM131B,-0.501637970167466
RP11-831H9.11,-0.501602969443128
ING2,-0.501483984195536
PSMB6,-0.501451433937973
FAM102A,-0.501392831013918
AP000295.9,-0.5013802301126
CDR2L,-0.501327735096999
IRF7,-0.50130716855334
GATAD2A,-0.501277539632514
OPTN,-0.501248281722436
C9orf140,-0.50119630790909
ST13P19,-0.501162588217618
FAM127C,-0.501138507361804
EFNB3,-0.501128493807126
CCDC23,-0.501114157558241
XPC,-0.501092711072593
RP4-725G10.4,-0.501043989256904
GALC,-0.500970749022184
RNPEPL1,-0.500968421798474
F11R,-0.500915555120674
SSR1,-0.500890318980123
AC073346.2,-0.500871666718775
RP11-10N23.4,-0.500817148485262
TBC1D20,-0.500807723874735
UBE2E3,-0.500780228978898
PLCD3,-0.500763921942311
TMSB15A,-0.500748802696376
AKR7A2P1,-0.50067138710254
CASKIN2,-0.500666625351232
RXRA,-0.500661526876537
SNAP23,-0.500653680374172
GOLIM4,-0.500618513697807
C1QBP,-0.500565652352772
PSMB1,-0.500540068192742
POLR2KP1,-0.50052226251845
B3GNT2,-0.50046886131677
ASF1A,-0.500419261177818
TBC1D22A,-0.50040614027445
CMTM6,-0.500389221981121
GDAP1L1,-0.500351363886997
CTC-564N23.2,-0.500329000337698
ACTR1A,-0.500275477017266
ZDHHC20-AS1,-0.50027271176503
TRIP10,-0.500268512502152
GSTA4,-0.500267555341633
TMC6,-0.500257609557354
GPCPD1,-0.500245622973088
SDSL,-0.500180177987424
PIK3R6,-0.500046335676524
PLXNB3,-0.500036979008353
APITD1,-0.499961704287036
ATP5A1P2,-0.499942041018511
HSD17B12,-0.499929046341428
TNFRSF6B,-0.499839383157212
FOXQ1,-0.499823219687457
AC064850.4,-0.499776012142093
RALBP1,-0.499714202943577
TMEM41B,-0.49970850079522
SDHD,-0.499658749171027
MYLK2,-0.499566775963598
PDAP1,-0.499473095475098
SGK1,-0.499359517369671
MAPKAPK2,-0.499316452223194
STMN4,-0.499298174998303
STON2,-0.49928846327119
GNG3,-0.499279776795133
IL32,-0.499254490096731
NPC1,-0.499238084062421
CPNE3,-0.499019259670493
